BU_UOX,BU_MOX,Fr_MOX,TC_MOX,Pu_TOT
35.17,54.22,0.1154,10.15,13.577415
35.24,44.37,0.05306,15.72,16.586116
34.97,36.54,0.1746,17.45,13.091035
35.19,45.02,0.002506,9.775,18.788723
35.03,44.87,0.09116,13.66,14.813159
35.09,64.83,0.04653,13.66,16.789127
34.96,50.2,0.1517,0.8469,12.319913
35.13,42.05,0.1312,4.267,13.146422
35.18,33.58,0.09889,7.303,14.568749
35.23,32.07,0.1452,11.1,13.325982
34.98,50.44,1.15e-05,6.971,19.027799
35.18,38.35,0.1662,19.49,13.140068
35.03,53.36,0.08168,11.24,15.32168
34.96,56.26,0.01243,12.16,18.471616
35.0,45.23,0.1486,19.79,13.372257
35.06,60.71,0.1272,15.71,13.181493
35.11,54.67,0.09614,4.297,14.82556
35.04,41.22,0.03364,10.81,17.540298
35.01,43.24,0.1716,17.99,13.041632
35.21,52.93,0.005011,19.92,18.686823
35.15,64.92,0.1211,0.5037,13.151979
35.02,49.94,0.1703,12.4,12.732209
35.05,41.58,0.06249,8.597,16.124468
35.01,31.5,0.02242,9.0,17.96936
35.12,35.77,0.1788,0.244,12.455711
35.03,51.73,0.1715,16.45,12.648197
34.93,43.03,0.0151,13.2,18.321087
34.99,47.16,0.1613,7.774,12.685154
35.2,55.02,0.02877,11.32,17.521958
34.95,51.45,0.05989,16.27,16.395559
35.16,63.69,0.06061,19.15,16.08306
34.94,62.21,0.05396,1.682,16.493621
35.21,57.19,0.103,18.38,14.423515
35.22,42.59,0.01219,5.127,18.343561
35.18,43.66,0.0158,13.23,18.204613
34.94,51.76,0.1035,18.48,14.476271
35.1,37.51,0.004425,5.949,18.777867
34.9,51.18,0.1705,16.15,12.757371
35.21,59.46,0.02607,3.331,17.598225
35.15,42.29,0.02472,3.131,17.926082
35.09,57.86,0.1084,8.966,14.077704
34.96,52.71,0.1747,1.516,12.072989
35.12,31.53,0.192,4.059,12.688715
35.04,30.51,0.1086,5.909,14.289373
34.95,39.06,0.1752,18.5,13.116843
35.22,37.69,0.1869,5.042,12.37202
35.08,63.32,0.109,6.269,14.083277
35.25,50.05,0.1606,9.626,12.434689
35.14,52.3,0.1619,5.35,12.415689
35.07,63.88,0.04471,5.222,16.997305
34.91,35.81,0.07807,9.489,15.481421
35.22,49.91,0.067,5.593,15.760465
35.0,53.42,0.00318,11.61,18.85949
35.2,60.05,0.1357,8.257,12.575003
35.05,33.22,0.04727,8.647,16.889627
34.94,51.78,0.05548,9.386,16.58801
35.0,54.2,0.03403,2.32,17.579726
34.92,40.26,0.1493,14.01,13.251314
35.14,47.18,0.1567,9.377,12.739247
34.91,61.64,0.1168,15.22,13.755284
35.09,49.97,0.1022,19.2,14.473961
35.23,52.16,0.1838,0.9209,11.91627
35.1,42.26,0.1442,17.66,13.312832
35.12,42.88,0.1256,0.299,13.577219
35.15,57.37,0.1568,1.507,12.117045
35.02,39.39,0.06431,17.47,16.126806
35.13,55.65,0.1301,2.262,13.220858
35.16,62.97,0.09813,10.08,14.373662
34.98,33.67,0.04281,16.25,17.086325
34.99,38.71,0.1693,7.5,12.842696
35.04,39.51,0.1692,10.98,12.844481
34.97,45.77,0.07096,9.869,15.930037
35.2,32.55,0.02076,15.96,17.956489
35.17,46.38,0.006769,15.56,18.610845
35.07,34.66,0.1919,3.857,12.592262
35.18,50.75,0.1748,18.16,12.63597
35.24,59.68,0.05208,4.617,16.617254
35.08,61.3,0.1022,1.333,14.607189
34.93,46.06,0.06906,13.88,15.76048
35.17,61.34,0.1883,13.32,12.220359
35.12,57.26,0.05814,7.031,16.38087
35.19,54.68,0.0106,5.376,18.445914
34.93,54.18,0.1738,15.06,12.660244
34.95,49.27,0.1192,18.74,13.873484
35.07,56.42,0.1721,9.923,12.482264
34.91,51.25,0.05562,0.3568,16.50163
47.94,32.56,0.0267,13.43,15.138152
48.02,46.82,0.1002,5.998,11.812834
47.89,51.03,0.08475,15.09,12.631004
48.11,57.47,0.0347,8.583,14.729075
47.95,44.31,0.1537,12.34,11.465604
47.96,45.05,0.03667,10.61,14.541986
47.96,52.58,0.04279,6.723,14.180047
48.0,32.94,0.05367,7.962,14.098675
47.9,52.65,0.08096,4.241,12.932047
47.93,64.68,0.1615,15.38,11.165031
47.97,56.19,0.03507,2.317,14.587221
47.92,64.39,0.02013,18.39,15.36565
48.05,43.46,0.03617,6.625,14.749791
47.92,37.63,0.1137,5.369,11.669756
48.17,53.15,0.07438,7.75,12.858157
48.08,61.86,0.1436,2.119,10.659074
47.99,30.22,0.1528,17.61,11.857115
48.14,48.48,0.03123,1.289,14.984472
48.04,34.31,0.1179,10.37,11.8825
48.2,37.94,0.02307,13.97,15.211412
48.1,55.89,0.1845,17.46,10.994178
48.09,34.16,0.1394,8.922,11.540796
48.05,61.77,0.1551,19.52,11.249372
47.86,39.26,0.1763,15.05,11.239557
48.17,35.57,0.1948,16.79,11.279202
48.06,39.99,0.1968,14.94,11.079606
48.05,63.0,0.1648,16.18,11.036723
48.11,64.55,0.1552,19.51,11.334889
47.89,54.77,0.01805,6.595,15.499874
48.15,34.14,0.1793,17.51,11.5182
48.07,32.76,0.004105,12.24,16.064896
48.12,51.04,0.1449,9.494,11.20741
48.16,60.93,0.0233,15.27,15.17358
48.13,35.66,0.07599,8.49,13.157069
47.96,60.16,0.1536,15.6,11.297761
48.07,47.56,0.1185,6.63,11.362817
47.99,57.08,0.01513,3.152,15.539116
48.09,35.54,0.1768,10.39,11.216246
48.02,35.69,0.06694,18.18,13.370429
47.87,43.9,0.02977,4.803,14.862202
48.18,40.04,0.1011,1.301,11.910597
48.11,46.72,0.176,12.07,11.204658
47.87,40.74,0.0717,0.5416,13.542647
47.95,52.36,0.07568,15.31,12.878805
47.93,32.51,0.007082,8.76,15.943929
48.06,46.57,0.1258,8.208,11.473298
48.03,36.56,0.08009,9.585,12.788597
47.97,33.69,0.1068,7.653,11.96708
47.95,38.46,0.1944,17.2,11.233787
47.91,64.57,0.02004,2.456,15.327261
48.01,45.95,0.07182,4.027,13.05415
48.08,50.05,0.1621,11.35,11.080547
48.17,41.36,0.01204,5.223,15.70165
47.93,33.16,0.1575,7.145,11.448763
48.14,63.38,0.0595,14.55,13.654677
47.99,58.11,0.1314,19.67,11.606006
48.18,45.42,0.0129,0.3918,15.737972
47.85,53.89,0.1688,12.06,10.97198
47.98,52.04,0.1329,6.657,11.241801
47.92,48.05,0.006488,14.18,15.959657
48.05,60.43,0.08226,15.36,12.508261
47.98,39.15,0.09096,11.7,12.359507
47.85,54.13,0.07161,0.7787,12.91219
48.12,51.75,0.03271,3.474,14.704754
48.08,36.02,0.1597,17.58,11.583139
47.9,34.94,0.0443,13.51,14.359991
47.94,43.74,0.1629,17.92,11.437798
47.99,56.33,0.1884,4.649,10.354408
47.88,48.66,0.1824,7.626,10.923209
47.97,37.03,0.1141,0.821,11.814802
48.0,59.95,0.159,2.512,10.732569
48.1,59.13,0.1485,16.85,11.168118
48.1,39.61,0.1335,3.243,11.421354
48.09,36.39,0.04557,14.21,14.231367
47.94,51.69,0.1204,12.12,11.560316
48.14,46.32,0.1581,16.8,11.401053
48.19,46.69,0.02782,9.249,15.047975
48.13,43.2,0.06976,2.999,13.468212
48.12,34.41,0.08415,6.726,12.869451
48.03,52.7,0.1434,3.487,10.981692
47.87,64.94,0.184,13.64,10.609894
47.88,31.16,0.1498,15.02,11.781126
48.16,36.06,0.1615,5.064,11.289453
48.15,56.95,0.0215,3.449,15.344472
48.01,60.31,0.05992,1.109,13.784758
48.14,31.43,0.1533,10.41,11.586171
48.02,60.44,0.06176,17.12,13.527936
48.04,30.25,0.0643,14.99,13.502043
48.0,45.24,0.0649,14.48,13.488818
47.9,59.29,0.1286,11.48,11.29511
47.91,43.0,0.1395,19.07,11.78802
48.07,46.52,0.15,12.48,11.407869
48.19,41.5,0.04068,18.79,14.47521
48.16,33.81,0.1174,5.878,11.773618
48.03,61.46,0.1525,6.887,10.835403
47.89,39.59,0.08938,11.46,12.472084
47.86,43.13,0.01675,0.9687,15.481072
48.2,43.18,0.1134,19.13,12.079778
48.18,50.81,0.05746,6.072,13.826481
47.88,38.29,0.09937,6.295,12.034062
54.73,63.93,0.07178,12.51,11.988057
54.71,46.13,0.08561,15.1,11.635684
54.64,56.15,0.163,14.15,10.446102
54.61,43.35,0.1419,13.28,11.058501
54.8,33.73,0.04401,4.5,13.442678
54.61,50.21,0.1244,5.462,10.605134
54.78,50.03,0.187,17.95,10.733157
54.6,56.31,0.125,8.809,10.622141
54.67,36.3,0.1241,15.14,11.405955
54.69,58.62,0.04671,16.79,13.316743
54.65,45.47,0.0751,8.342,12.194993
54.66,62.92,0.1022,16.27,11.111785
54.64,52.94,0.04902,5.379,13.189078
54.55,34.5,0.1987,10.7,10.652533
54.75,55.1,0.02186,2.433,14.357611
54.63,45.49,0.1825,19.36,10.774656
54.66,38.4,0.08862,4.83,11.629167
54.54,57.51,0.09861,2.827,11.347205
54.81,44.49,0.05281,18.23,13.067858
54.82,41.62,0.1144,15.45,11.359278
54.67,63.45,0.03613,8.174,13.781567
54.53,47.59,0.001635,2.117,15.316829
54.77,31.7,0.09424,3.185,11.534145
54.74,60.34,0.1815,11.81,10.457571
54.77,45.57,0.1085,1.782,10.806544
54.7,40.9,0.1234,11.65,11.174304
54.76,60.69,0.09158,5.067,11.453663
54.71,49.08,0.006152,7.952,15.098548
54.61,55.91,0.1384,5.751,10.539031
54.73,33.7,0.02021,4.009,14.412341
54.79,44.33,0.05135,12.29,13.114067
54.58,32.18,0.04998,3.695,13.231908
54.56,31.94,0.1782,0.09837,10.550298
54.72,38.33,0.02626,1.232,14.120479
54.54,36.61,0.02136,3.9,14.569547
54.63,37.96,0.08953,5.163,11.565227
54.75,59.61,0.1121,3.013,10.57759
54.83,55.67,0.08311,0.5131,11.5279
54.85,53.14,0.1629,7.757,10.423609
54.55,56.13,0.1339,13.76,10.760796
54.77,62.63,0.09593,6.586,11.181491
54.81,64.83,0.1783,12.74,10.314017
54.85,33.9,0.03975,15.12,13.586741
54.69,50.84,0.07133,2.175,12.476037
54.69,38.13,0.1362,5.919,10.951472
54.62,30.3,0.09886,10.17,11.744279
54.79,50.5,0.07877,14.03,11.843837
54.82,53.1,0.1001,19.99,11.33489
54.84,46.24,0.1273,5.629,10.791422
54.5,52.63,0.177,6.196,10.500234
54.57,30.18,0.09271,7.158,11.667609
54.8,54.35,0.1013,19.72,11.295787
54.62,60.39,0.1044,1.446,10.868999
54.7,35.95,0.1473,11.26,11.024981
54.59,63.09,0.03627,0.1964,13.907302
54.72,50.01,0.1102,2.37,10.725287
54.59,37.74,0.004614,19.52,15.193697
54.7,47.88,0.1047,13.53,11.296809
54.75,54.44,0.1236,3.08,10.577558
54.68,55.81,0.128,4.169,10.605575
54.57,32.31,0.08968,6.53,11.691441
54.8,53.8,0.04703,19.79,13.316611
54.59,32.34,0.07089,3.721,12.696771
54.65,45.06,0.171,16.55,10.645685
54.56,61.37,0.1321,19.63,11.043737
54.53,55.06,0.1364,1.867,10.387531
54.51,51.92,0.01458,17.03,14.72531
54.53,38.97,0.03018,0.04828,14.26942
54.6,56.49,0.1775,9.804,10.088941
54.51,48.24,0.03311,12.34,13.943615
54.63,37.6,0.1079,18.6,11.542407
54.81,53.47,0.04552,12.85,13.234776
54.51,44.23,0.1555,10.71,10.696618
54.82,39.64,0.1021,0.2429,11.443349
54.66,32.49,0.131,8.942,11.203511
54.52,63.2,0.09923,4.538,10.905976
54.83,51.25,0.02992,7.446,14.062843
54.71,46.49,0.1113,5.503,11.110096
54.78,38.3,0.1874,16.95,10.815596
54.74,59.74,0.1428,9.438,10.579702
54.68,64.6,0.1228,3.016,10.611157
54.83,36.64,0.1587,14.42,11.036806
54.84,33.49,0.008922,11.17,14.913267
54.78,49.51,0.01528,1.144,14.600652
54.5,53.1,0.002595,3.07,15.293729
54.74,58.68,0.01947,7.348,14.513787
54.58,54.52,0.04218,2.938,13.623636
54.67,48.64,0.1587,11.66,10.677312
54.73,63.18,0.02123,4.874,14.301617
54.57,48.01,0.1298,15.29,11.099183
54.54,52.41,0.1392,16.91,10.999497
54.76,33.35,0.1621,1.178,10.693693
54.56,64.79,0.06225,6.02,12.706611
54.52,33.6,0.03647,6.012,13.97115
54.6,35.43,0.09645,1.092,11.471277
54.72,38.02,0.09605,14.0,11.580405
54.57,40.7,0.1977,3.263,10.252009
54.79,31.86,0.08281,15.27,12.010974
54.65,45.66,0.1261,13.67,10.997291
54.63,39.24,0.1226,11.15,11.192459
34.36,38.6,0.1557,12.98,13.157504
34.49,44.7,0.1483,14.21,13.146487
34.32,41.46,0.02622,16.78,18.064578
34.49,30.78,0.1364,5.573,13.692493
34.24,45.81,0.03554,11.76,17.627086
34.41,40.37,0.01073,10.22,18.729294
34.55,46.76,0.14,19.9,13.391297
34.21,53.63,0.1498,19.69,13.301571
34.31,61.61,0.175,5.102,11.996645
34.27,35.16,0.1625,4.858,13.030562
34.48,58.81,0.04,5.091,17.425594
34.52,48.1,0.1875,18.93,12.775693
34.52,41.94,0.04454,14.89,17.261607
34.3,54.33,0.01833,1.286,18.294046
34.43,30.64,0.1686,11.28,13.256539
34.45,44.63,0.04872,9.388,17.067013
34.22,53.01,0.1071,14.13,14.396931
34.47,52.99,0.1453,5.984,12.757484
34.51,62.85,0.09512,2.353,14.524729
34.47,40.68,0.07629,16.2,15.752027
34.42,60.49,0.08946,16.15,15.031202
34.36,52.23,0.1723,1.264,12.22691
34.23,38.72,0.1873,15.01,12.898796
34.25,41.48,0.04226,16.42,17.251515
34.34,33.49,0.02025,14.38,18.279179
34.45,63.55,0.07049,16.67,16.007345
34.27,62.0,0.1856,7.915,12.246911
34.29,60.51,0.15,8.063,12.621675
34.38,31.21,0.1436,18.34,13.84503
34.42,45.81,0.0214,17.24,18.184792
34.39,45.9,0.1477,5.852,12.791181
34.28,43.14,0.04899,5.088,17.156959
34.54,39.22,0.1749,11.76,13.000065
34.37,44.59,0.06273,3.179,16.207414
34.3,60.86,0.096,10.86,14.746253
34.53,42.96,0.04494,19.4,17.158187
34.35,31.7,0.08606,19.77,15.532369
34.44,38.03,0.157,10.12,13.157607
34.47,46.41,0.1316,11.28,13.252907
34.22,41.88,0.1004,2.499,14.580101
34.21,62.99,0.01129,4.765,18.711112
34.42,36.32,0.132,17.87,13.811859
34.48,34.13,0.002216,5.336,19.08154
34.29,34.97,0.09563,18.22,15.065891
34.31,40.59,0.07056,10.54,16.154192
34.33,57.97,0.1266,15.47,13.522523
34.41,32.09,0.1133,6.305,14.35304
34.43,30.15,0.06833,17.81,16.373389
34.23,45.73,0.1217,10.51,13.637956
34.37,55.03,0.08661,3.148,15.486031
34.43,37.67,0.05769,12.48,16.69002
34.39,43.28,0.003895,5.409,19.030859
34.25,38.69,0.108,12.6,14.356539
34.5,33.1,0.05345,15.87,16.923685
34.24,53.87,0.04015,5.085,17.464154
34.51,59.79,0.02874,4.29,17.739963
34.28,37.72,0.1921,4.762,12.497155
34.54,59.04,0.1463,13.87,12.902807
34.22,41.78,0.1663,5.642,12.734024
34.47,46.3,0.1919,0.6009,12.155179
34.21,30.31,0.01853,8.189,18.457694
34.41,38.51,0.04596,5.755,17.29021
34.44,56.61,0.1493,6.805,12.649706
34.34,48.92,0.1931,2.545,12.14701
34.26,35.41,0.1413,10.65,13.485349
34.46,59.57,0.1651,12.21,12.60229
34.35,51.56,0.06137,3.602,16.577766
34.38,53.89,0.186,13.51,12.631774
34.53,48.55,0.1455,2.971,12.670664
34.34,33.61,0.1006,0.1626,15.36737
34.29,51.61,0.164,10.26,12.625827
34.5,61.67,0.1951,11.49,12.253946
34.27,55.64,0.02572,17.64,18.011158
34.36,59.45,0.07461,4.666,15.930122
34.25,51.2,0.03743,8.934,17.546894
34.2,64.69,0.06351,17.12,16.189185
34.28,61.71,0.0444,19.17,17.129307
34.35,64.36,0.1183,18.3,14.113954
34.53,44.16,0.06691,19.03,16.245198
34.32,50.55,0.1172,9.177,13.993758
34.4,54.75,0.05652,2.32,16.563188
34.2,59.85,0.06373,16.63,16.3502
34.39,53.25,0.1889,3.604,12.169058
34.46,47.85,0.02474,9.819,17.977418
34.37,54.97,0.04311,3.426,17.35014
34.52,60.29,0.1724,15.51,12.607397
34.33,41.06,0.09709,11.0,14.823587
34.3,32.24,0.1432,14.97,13.656574
34.33,50.9,0.131,19.59,13.541187
34.54,62.5,0.1194,9.312,13.577741
34.5,47.21,0.07891,8.023,15.748793
34.26,51.36,0.1767,6.414,12.300787
34.4,36.2,0.1745,8.635,13.016931
34.31,31.39,0.1045,0.5272,14.799122
34.24,45.86,0.1554,15.57,13.112464
34.44,31.15,0.1642,15.47,13.471013
34.48,31.34,0.06783,4.042,16.509115
34.38,43.63,0.07146,6.735,15.955052
34.51,47.71,0.1739,8.959,12.553116
34.46,60.9,0.09013,11.84,14.956094
43.18,44.91,0.002343,12.02,17.126067
43.1,38.94,0.003094,3.122,17.100633
43.12,47.7,0.04428,5.444,15.214645
42.99,51.24,0.01946,12.79,16.313754
43.24,62.61,0.05485,0.7714,14.625389
42.98,45.87,0.1048,14.65,12.621181
43.21,42.95,0.1405,6.216,11.831666
43.0,46.27,0.1874,9.868,11.411511
43.11,48.14,0.07397,19.76,13.964007
43.29,32.43,0.02233,10.92,16.16106
42.96,56.72,0.007373,5.765,16.941709
43.03,57.46,0.1154,6.14,12.153917
43.23,32.42,0.02567,1.786,16.239883
43.3,40.0,0.02956,2.887,16.024561
43.04,49.68,0.1635,19.21,11.833625
43.04,58.55,0.1803,6.009,11.11278
43.15,42.76,0.1238,14.98,12.383498
42.98,55.13,0.1481,12.97,11.745855
43.0,30.96,0.07501,9.414,14.197609
43.08,30.82,0.01762,13.39,16.503602
43.27,39.74,0.08013,1.126,14.074564
43.11,58.89,0.04826,14.06,15.120935
43.05,53.68,0.1541,2.15,11.235936
43.13,53.06,0.03658,4.003,15.691485
43.1,56.8,0.02229,4.925,16.154082
43.06,50.24,0.114,12.86,12.30468
43.16,63.48,0.1421,7.627,11.408301
43.25,42.74,0.1523,2.536,11.654995
43.14,39.27,0.01886,1.598,16.333043
43.04,35.1,0.1456,18.86,12.451413
42.95,61.1,0.1176,2.406,12.199711
43.02,38.76,0.1924,13.58,11.630604
43.26,45.36,0.1965,19.11,11.719285
